element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,47,"=""0.34066""","=""0.00006""","=""0.34066""","=""0.00006""","=""2""","=""""",,"=""0""","=""29355000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.8f ""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,47,"=""0.34440""","=""0.00006""","=""0.34440""","=""0.00006""","=""2""","=""""",,"=""0""","=""29036000""","=""3p6.3d10""","=""1S""","=""0""","=""3p5.3d10.6d""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,47,"=""0.3445""","=""0.0006""","=""0.3445""","=""0.0006""","=""bl""","=""""",,"=""0""","=""29030000""","=""3p6.3d10""","=""1S""","=""0""","=""3s.3p6.3d10.5p""","=""(1/2,1/2)*""","=""1""",,"=""""","=""L10172""",
W,47,"=""0.34690""","=""0.00005""","=""0.34690""","=""0.00005""","=""3""","=""""",,"=""0""","=""28827000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.8f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L15201""",
W,46,"=""0.3524""","=""0.0002""","=""0.35240""","=""0.00020""","=""*""","=""""",,"=""787410""","=""29164000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (5/2,1/2)*<3>.8f<7/2>""","=""(3,7/2)""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.3524""","=""0.0002""","=""0.35240""","=""0.00020""","=""*""","=""""",,"=""0""","=""28377000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (5/2,1/2)<2>.8f<7/2>""","=""(2,7/2)*""","=""3/2""",,"=""""","=""L10172""",
W,47,"=""0.35524""","=""0.00004""","=""0.35524""","=""0.00004""","=""4""","=""""",,"=""0""","=""28150000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.7f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,47,"=""0.35618""","=""0.00007""","=""0.35618""","=""0.00007""","=""1""","=""""",,"=""0""","=""28076000""","=""3p6.3d10""","=""1S""","=""0""","=""3p5.3d10.5d""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L15201""",
W,64,"=""""","=""""","=""0.3571""","=""0.0005""","=""""","=""""",,"=""0""","=""28003000""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""""","=""L10677""",
W,46,"=""0.3605""","=""0.0002""","=""0.36050""","=""0.00020""","=""*""","=""""",,"=""787410""","=""28527000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (3/2,1/2)*<1>.7f<5/2>""","=""(1,5/2)""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.3605""","=""0.0002""","=""0.36050""","=""0.00020""","=""*""","=""""",,"=""0""","=""27739000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (3/2,1/2)<2>.7f<5/2>""","=""(2,5/2)*""","=""3/2""",,"=""""","=""L10172""",
W,47,"=""0.36189""","=""0.00004""","=""0.36189""","=""0.00004""","=""6""","=""""",,"=""0""","=""27633000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.7f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L15201""",
W,45,"=""0.3662""","=""0.0002""","=""0.36617""","=""0.00020""","=""""","=""""",,"=""0""","=""27310000""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.7f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L10172""",
W,64,"=""""","=""""","=""0.3665""","=""0.0004""","=""""","=""""",,"=""1287000""","=""[28572000]""","=""3p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,"=""""","=""L10677""",
W,46,"=""0.3675""","=""0.0002""","=""0.36750""","=""0.00020""","=""*""","=""""",,"=""0""","=""27211000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (5/2,1/2)<2>.7f<7/2>""","=""(2,7/2)*""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.3675""","=""0.0002""","=""0.36750""","=""0.00020""","=""*""","=""""",,"=""787410""","=""27998000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (5/2,1/2)*<3>.7f<7/2>""","=""(3,7/2)""","=""3/2""",,"=""""","=""L10172""",
W,48,"=""0.3691""","=""0.0002""","=""0.36910""","=""0.00020""","=""*""","=""""",,"=""0""","=""27093000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1G<4>).6f""","=""(4,5/2)*""","=""5/2""",,"=""""","=""L10172""",
W,48,"=""0.3691""","=""0.0002""","=""0.36910""","=""0.00020""","=""*""","=""""",,"=""0""","=""27093000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1G<4>).6f""","=""(4,5/2)*""","=""7/2""",,"=""""","=""L10172""",
W,48,"=""0.3691""","=""0.0002""","=""0.36910""","=""0.00020""","=""*""","=""""",,"=""0""","=""27093000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1G<4>).6f""","=""(4,5/2)*""","=""3/2""",,"=""""","=""L10172""",
W,64,"=""""","=""""","=""0.3736""","=""0.0006""","=""""","=""""",,"=""0""","=""26767000""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""""","=""L10677""",
W,45,"=""0.3740""","=""0.0002""","=""0.37397""","=""0.00020""","=""""","=""""",,"=""0""","=""26740000""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<5/2>).4s2.7f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L10172""",
W,47,"=""0.38033""","=""0.00004""","=""0.38033""","=""0.00004""","=""9""","=""""",,"=""0""","=""26293000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.6f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,46,"=""0.38555""","=""0.00006""","=""0.38555""","=""0.00006""","=""8*""","=""""",,"=""0""","=""25937000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (3/2,1/2)<2>.6f<5/2>""","=""(2,5/2)*""","=""1/2""",,"=""""","=""L15201""",
W,46,"=""0.38555""","=""0.00006""","=""0.38555""","=""0.00006""","=""8*""","=""""",,"=""0""","=""25937000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (3/2,1/2)<2>.6f<5/2>""","=""(2,5/2)*""","=""3/2""",,"=""""","=""L15201""",
W,46,"=""0.3856""","=""0.0005""","=""0.3856""","=""0.0004""","=""w,bl""","=""""",,"=""787410""","=""26720000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (3/2,1/2)*<1>.6f<5/2>""","=""(1,5/2)""","=""3/2""",,"=""""","=""L10172""",
W,47,"=""0.38784""","=""0.00004""","=""0.38784""","=""0.00004""","=""11""","=""""",,"=""0""","=""25784000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.6f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L15201""",
W,47,"=""0.38956""","=""0.00005""","=""0.38956""","=""0.00005""","=""4""","=""""",,"=""0""","=""25670000""","=""3p6.3d10""","=""1S""","=""0""","=""3p5.3d10.5d""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,45,"=""0.39097""","=""0.00007""","=""0.39098""","=""0.00007""","=""7""","=""""",,"=""0""","=""25577000""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.6f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,46,"=""0.39329""","=""0.00006""","=""0.39328""","=""0.00006""","=""11*""","=""""",,"=""0""","=""25427000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (5/2,1/2)<3>.6f<7/2>""","=""(3,7/2)*""","=""1/2""",,"=""""","=""L15201""",
W,46,"=""0.39329""","=""0.00006""","=""0.39328""","=""0.00006""","=""11*""","=""""",,"=""0""","=""25427000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (5/2,1/2)<2>.6f<7/2>""","=""(2,7/2)*""","=""3/2""",,"=""""","=""L15201""",
W,46,"=""0.3933""","=""0.0002""","=""0.39330""","=""0.00020""","=""*""","=""""",,"=""0""","=""25426000""","=""3d10.4s""","=""2S""","=""1/2""","=""3p5.3d10.4s (3/2,1/2)*<2>.5d<5/2>""","=""(2,5/2)*""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.3933""","=""0.0002""","=""0.39330""","=""0.00020""","=""*""","=""""",,"=""787410""","=""26213000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (5/2,1/2)*<2>.6f<7/2>""","=""(2,7/2)""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.3933""","=""0.0002""","=""0.39330""","=""0.00020""","=""*""","=""""",,"=""787410""","=""26213000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3p5.3d10.4p (3/2,1/2)<2>.5d<5/2>""","=""(2,5/2)""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.3933""","=""0.0002""","=""0.39330""","=""0.00020""","=""*""","=""""",,"=""0""","=""25426000""","=""3d10.4s""","=""2S""","=""1/2""","=""3p5.3d10.4s (3/2,1/2)*<2>.5d<5/2>""","=""(2,5/2)*""","=""1/2""",,"=""""","=""L10172""",
W,44,"=""0.39636""","=""0.00012""","=""0.39635""","=""0.00011""","=""6*""","=""""",,"=""0""","=""25230000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.4s2.4p.(3/2,1/2)*<1>.6f""","=""(1,5/2)""","=""3/2""",,"=""""","=""L15201c89""",
W,44,"=""0.39636""","=""0.00012""","=""0.39635""","=""0.00011""","=""6*""","=""""",,"=""0""","=""25230000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.4s2.4p.(3/2,1/2)*<2>.6f""","=""(2,5/2)""","=""1/2""",,"=""""","=""L15201c89""",
W,45,"=""0.3973""","=""0.0002""","=""0.39730""","=""0.00020""","=""""","=""""",,"=""0""","=""25170000""","=""3d10.4s2""","=""1S""","=""0""","=""3p5.(2P*<3/2>).3d10.4s2.5d""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L10172""",
W,45,"=""0.39895""","=""0.00006""","=""0.39895""","=""0.00006""","=""8""","=""""",,"=""0""","=""25066000""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<5/2>).4s2.6f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L15201""",
W,43,"=""0.4017""","=""0.0005""","=""0.4017""","=""0.0005""","=""bl""","=""""",,"=""0""","=""24894000""","=""3d10.4s2.4p2""","=""3P""","=""0""","=""3d9.(2D<3/2>).4s2 4p2.(3P<0>) (3/2,0)<3/2>.6f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L10172""",
W,44,"=""0.4017""","=""0.0005""","=""0.4017""","=""0.0005""","=""bl*""","=""""",,"=""0""","=""24894000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3p5.3d10.4s2.4p.(3/2,1/2)<2>.5d""","=""(2,5/2)""","=""1/2""",,"=""""","=""L10172""",
W,44,"=""0.4017""","=""0.0005""","=""0.4017""","=""0.0005""","=""bl*""","=""""",,"=""0""","=""24894000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3p5.3d10.4s2.4p.(3/2,1/2)<2>.5d""","=""(2,5/2)""","=""3/2""",,"=""""","=""L10172""",
W,44,"=""0.40472""","=""0.00012""","=""0.40473""","=""0.00011""","=""5*""","=""""",,"=""0""","=""24708000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.4s2.4p.(5/2,1/2)*<2>.6f""","=""(2,7/2)""","=""3/2""",,"=""""","=""L15201c89""",
W,44,"=""0.40472""","=""0.00012""","=""0.40473""","=""0.00011""","=""5*""","=""""",,"=""0""","=""24708000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.4s2.4p.(5/2,1/2)*<3>.6f""","=""(3,7/2)""","=""1/2""",,"=""""","=""L15201c89""",
W,64,"=""""","=""""","=""0.4070""","=""0.0005""","=""""","=""""",,"=""4300500""","=""[28871000]""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,"=""""","=""L10677""",
W,43,"=""0.4104""","=""0.0005""","=""0.4104""","=""0.0005""","=""""","=""""",,"=""0""","=""24366000""","=""3d10.4s2.4p2""","=""3P""","=""0""","=""3d9.(2D<5/2>).4s2 4p2.(3P<0>) (5/2,0)<5/2>.6f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L10172""",
W,48,"=""0.4174""","=""0.0002""","=""0.41741""","=""0.00020""","=""15""","=""""",,"=""538590""","=""24496000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(1S<0>).5f""","=""(0,5/2)*""","=""5/2""",,"=""""","=""L10172""",
W,48,"=""0.41916""","=""0.00006""","=""0.41916""","=""0.00006""","=""60*""","=""""",,"=""0""","=""23857000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(3P<1>).5f""","=""(1,5/2)*""","=""7/2""",,"=""""","=""L15201""",
W,48,"=""0.41916""","=""0.00006""","=""0.41916""","=""0.00006""","=""60*""","=""""",,"=""0""","=""23857000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1G<4>).5f""","=""(4,5/2)*""","=""3/2""",,"=""""","=""L15201""",
W,48,"=""0.41916""","=""0.00006""","=""0.41916""","=""0.00006""","=""60*""","=""""",,"=""0""","=""23857000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1G<4>).5f""","=""(4,5/2)*""","=""5/2""",,"=""""","=""L15201""",
W,48,"=""0.4202""","=""0.0002""","=""0.42020""","=""0.00020""","=""40*""","=""""",,"=""0""","=""23798000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(3P<2>).5f""","=""(2,5/2)*""","=""7/2""",,"=""""","=""L10172""",
W,48,"=""0.4202""","=""0.0002""","=""0.42020""","=""0.00020""","=""40*""","=""""",,"=""538590""","=""24337000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(3F<2>).5f""","=""(2,5/2)*""","=""3/2""",,"=""""","=""L10172""",
W,48,"=""0.4202""","=""0.0002""","=""0.42020""","=""0.00020""","=""40*""","=""""",,"=""538590""","=""24337000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(3F<2>).5f""","=""(2,5/2)*""","=""5/2""",,"=""""","=""L10172""",
W,47,"=""0.4240""","=""0.0002""","=""0.42400""","=""0.00020""","=""""","=""""",,"=""""","=""""","=""3p6.3d9.(2D<5/2>).4l""","=""""","=""""","=""3p6.3d8 (3/2,5/2)<4>.5f<5/2> (4,5/2)*<3/2,5/2,7/2>.4l""","=""""","=""""",,"=""""","=""L10172""",
W,47,"=""0.4251""","=""0.0002""","=""0.42510""","=""0.00020""","=""*""","=""""",,"=""""","=""""","=""3p6.3d9.(2D<5/2>).4l""","=""""","=""""","=""3p6.3d8 (3/2,5/2)<2>.5f<5/2> (2,5/2)*<7/2>.4l""","=""""","=""""",,"=""""","=""L10172""",
W,47,"=""0.4251""","=""0.0002""","=""0.42510""","=""0.00020""","=""*""","=""""",,"=""""","=""""","=""3p6.3d9.(2D<3/2>).4l""","=""""","=""""","=""3p6.3d8 (3/2,3/2)<2>.5f<5/2> (2,5/2)*<3/2,5/2>.4l""","=""""","=""""",,"=""""","=""L10172""",
W,64,"=""""","=""""","=""0.4279""","=""0.0005""","=""""","=""""",,"=""[5812700]""","=""[29183000]""","=""3d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",,"=""""","=""L10677""",
W,48,"=""0.4282""","=""0.0002""","=""0.42820""","=""0.00020""","=""30*""","=""""",,"=""538590""","=""23892000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(3P<1>).5f""","=""(1,7/2)*""","=""5/2""",,"=""""","=""L10172""",
W,48,"=""0.4282""","=""0.0002""","=""0.42820""","=""0.00020""","=""30*""","=""""",,"=""538590""","=""23892000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(1G<4>).5f""","=""(4,7/2)*""","=""1/2""",,"=""""","=""L10172""",
W,48,"=""0.4282""","=""0.0002""","=""0.42820""","=""0.00020""","=""30*""","=""""",,"=""538590""","=""23892000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(1G<4>).5f""","=""(4,7/2)*""","=""3/2""",,"=""""","=""L10172""",
W,48,"=""0.42897""","=""0.00007""","=""0.42896""","=""0.00007""","=""50*""","=""""",,"=""0""","=""23312000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1D<2>).5f""","=""(2,7/2)*""","=""5/2""",,"=""""","=""L15201""",
W,48,"=""0.42897""","=""0.00007""","=""0.42896""","=""0.00007""","=""50*""","=""""",,"=""0""","=""23312000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1D<2>).5f""","=""(2,7/2)*""","=""7/2""",,"=""""","=""L15201""",
W,48,"=""0.4298""","=""0.0002""","=""0.42979""","=""0.00020""","=""20*""","=""""",,"=""0""","=""23267000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1D<2>).5f""","=""(2,5/2)*""","=""3/2""",,"=""""","=""L10172""",
W,48,"=""0.4298""","=""0.0002""","=""0.42979""","=""0.00020""","=""20*""","=""""",,"=""0""","=""23267000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(3F<4>).5f""","=""(4,7/2)*""","=""5/2""",,"=""""","=""L10172""",
W,47,"=""0.43077""","=""0.00004""","=""0.43077""","=""0.00004""","=""40""","=""""",,"=""0""","=""23214200""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.5f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L15201""",
W,48,"=""0.4309""","=""0.0005""","=""0.4309""","=""0.0006""","=""bl*""","=""""",,"=""0""","=""23207000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(3F<4>).5f""","=""(4,7/2)*""","=""3/2""",,"=""""","=""L10172""",
W,48,"=""0.4309""","=""0.0005""","=""0.4309""","=""0.0006""","=""bl*""","=""""",,"=""538590""","=""23746000""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(3F<3>).5f""","=""(3,7/2)*""","=""5/2""",,"=""""","=""L10172""",
W,48,"=""0.4309""","=""0.0005""","=""0.4309""","=""0.0006""","=""bl*""","=""""",,"=""0""","=""23207000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(1D<2>).5f""","=""(2,5/2)*""","=""5/2""",,"=""""","=""L10172""",
W,48,"=""0.4309""","=""0.0005""","=""0.4309""","=""0.0006""","=""bl*""","=""""",,"=""0""","=""23207000""","=""3p6.3d9""","=""2D""","=""5/2""","=""3p6.3d8.(3F<4>).5f""","=""(4,7/2)*""","=""7/2""",,"=""""","=""L10172""",
W,47,"=""0.4328""","=""0.0002""","=""0.43280""","=""0.00020""","=""""","=""""",,"=""""","=""""","=""3p6.3d9.(2D<3/2>).4l""","=""""","=""""","=""3p6.3d8 (3/2,5/2)<4>.5f<7/2> (4,7/2)*<1/2,3/2,5/2>.4l""","=""""","=""""",,"=""""","=""L10172""",
W,46,"=""0.43578""","=""0.00006""","=""0.43579""","=""0.00006""","=""30bl*""","=""""",,"=""0""","=""22947000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (3/2,1/2)<2>.5f<5/2>""","=""(2,5/2)*""","=""1/2""",,"=""""","=""L15201""",
W,46,"=""0.43578""","=""0.00006""","=""0.43579""","=""0.00006""","=""30bl*""","=""""",,"=""0""","=""22947000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (3/2,1/2)<1>.5f<5/2>""","=""(1,5/2)*""","=""3/2""",,"=""""","=""L15201""",
W,46,"=""0.4359""","=""0.0005""","=""0.4359""","=""0.0006""","=""w*""","=""""",,"=""787410""","=""23730000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (3/2,1/2)*<1>.5f<5/2>""","=""(1,5/2)""","=""3/2""",,"=""""","=""L10172""",
W,64,"=""""","=""""","=""0.4383""","=""0.0006""","=""""","=""""",,"=""[6497600]""","=""[29313000]""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",,"=""""","=""L10677""",
W,47,"=""0.44027""","=""0.00005""","=""0.44028""","=""0.00005""","=""30""","=""""",,"=""0""","=""22713000""","=""3p6.3d10""","=""1S""","=""0""","=""3p6.3d9.5f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L15201""",
W,45,"=""0.4411""","=""0.0005""","=""0.4411""","=""0.0006""","=""bl""","=""""",,"=""0""","=""22670000""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<3/2>).4s2.5f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L10172""",
W,46,"=""0.44551""","=""0.00013""","=""0.44551""","=""0.00013""","=""26*""","=""""",,"=""0""","=""22446000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (5/2,1/2)<3>.5f<7/2>""","=""(3,7/2)*""","=""1/2""",,"=""""","=""L15201""",
W,46,"=""0.44551""","=""0.00013""","=""0.44551""","=""0.00013""","=""26*""","=""""",,"=""0""","=""22446000""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.4s (5/2,1/2)<2>.5f<7/2>""","=""(2,7/2)*""","=""3/2""",,"=""""","=""L15201""",
W,44,"=""0.4457""","=""0.0007""","=""0.4456""","=""0.0008""","=""w,bl*""","=""""",,"=""0""","=""22440000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.4s2.4p.(3/2,1/2)*<1>.5f""","=""(1,5/2)""","=""3/2""",,"=""""","=""L10172""",
W,46,"=""0.4457""","=""0.0007""","=""0.4457""","=""0.0008""","=""w,bl*""","=""""",,"=""787410""","=""23224000a""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4p (5/2,1/2)*<2>.5f<7/2>""","=""(2,7/2)""","=""3/2""",,"=""""","=""L10172""",
W,44,"=""0.4457""","=""0.0007""","=""0.4456""","=""0.0008""","=""w,bl*""","=""""",,"=""0""","=""22440000""","=""3d10.4s2.4p""","=""2P*""","=""1/2""","=""3d9.4s2.4p.(3/2,1/2)*<2>.5f""","=""(2,5/2)""","=""1/2""",,"=""""","=""L10172""",
W,47,"=""0.44910""","=""0.00008""","=""0.44910""","=""0.00008""","=""3""","=""""",,"=""0""","=""22267000""","=""3p6.3d10""","=""1S""","=""0""","=""3s.3p6.3d10.4p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L15201""",
W,43,"=""0.4507""","=""0.0005""","=""0.4507""","=""0.0005""","=""bl""","=""""",,"=""0""","=""22188000""","=""3d10.4s2.4p2""","=""3P""","=""0""","=""3d9.(2D<3/2>).4s2 4p2.(3P<0>) (3/2,0)<3/2>.5f""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L10172""",
W,45,"=""0.45080""","=""0.00016""","=""0.45080""","=""0.00016""","=""15bl""","=""""",,"=""0""","=""22183000""","=""3d10.4s2""","=""1S""","=""0""","=""3d9.(2D<5/2>).4s2.5f""","=""(5/2,7/2)*""","=""1""",,"=""""","=""L15201""",
